Address,Latitude,Longitude
"920 Red Lion Rd, Philadelphia, PA 19115",40.10061575,-75.02646932
"3200-09 Red Lion Rd, Philadelphia, PA 19114",40.07958481,-74.99336345
"8200 Roosevelt Blvd, Philadelphia, PA 19152",40.0604533,-75.04529888
"6640 Oxford Ave, Philadelphia, PA 19111",40.05046769,-75.08694843
"2101-41 Cottman Ave, Philadelphia, PA 19149",40.05016504,-75.06290653
" 6601 Roosevelt Blvd, Philadelphia, PA 19149",40.0358207,-75.0626679
" 701 Cathedral Rd Suit 34, Philadelphia, PA 19128",40.06404758,-75.23650087
"7700 Crittenden St, Philadelphia, PA 19118",40.07179242,-75.19382185
" 7010 Germantown Ave, Philadelphia, PA 19119",40.05675909,-75.18953078
"5927-59 Ridge Ave, Philadelphia, PA 19128",40.03188333,-75.21118876
"121 E City Ave, Bala Cynwyd, PA 19004",40.00438335,-75.22266553
"180 W Girard Ave, Philadelphia, PA 19123",39.96857915,-75.13906429
"4001 Walnut St, Philadelphia, PA 19104",39.95453761,-75.2028042
"309 S 5th St, Philadelphia, PA 19106",39.94456456,-75.14986895
"1001 South St, Philadelphia, PA 19147",39.94308378,-75.15870843
"1400 E Passyunk Ave, Philadelphia, PA 19147",39.93245176,-75.16230193
"29 Snyder Ave, Philadelphia, PA 19148",39.9234672,-75.14481079
"1901 Johnston St, Philadelphia, PA 19145",39.91706595,-75.18021699